sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,19-24,3.0,1.0,4.0,6.0,4.0,1.0,4.0,5.5,7.0,5.8,10.0,9.399999999999999,10.0,10.0,1.0,6.0,10.0,5.500000000000001,1.0,3.25,2.8,10.0,5.5,1.0,2.8,10.0,10.0,2.8,2.8,3.6666666666666665,2.8,10.0,1.0,1.0,7.0,3.571428571428571,5.5,5.5,6.625,7.0,7.0,1.0,7.75,1.0,2.9285714285714284,10.0,8.615384615384615,4.0,1.0,2.285714285714285,1.0,1.0,7.157894736842105,6.25,1.0,1.0,4.0,3.25
2.0,25-34,1.0,1.0,7.0,6.0,6.25,1.0,4.0,7.75,4.0,5.0,5.0,6.799999999999999,5.125,1.0,6.3999999999999995,6.4,7.5,8.26923076923077,7.0,1.0,8.2,5.5,8.5,1.0,8.2,10.0,1.0,10.0,2.8,5.0,6.3999999999999995,8.8,1.0,1.0,4.75,6.142857142857142,10.0,3.25,4.375,7.0,1.0,1.0,7.75,4.0,1.0,6.0,9.307692307692308,5.0,1.0,6.142857142857142,10.0,5.5,7.63157894736842,5.0,1.0,1.75,1.0,1.0
1.0,25-34,1.0,1.0,7.0,10.0,5.5,5.0,7.0,5.5,4.0,3.8,5.999999999999999,5.999999999999999,5.125,1.0,1.0,9.0,6.25,8.615384615384617,7.0,1.0,2.8,5.5,4.0,1.0,2.8,7.0,4.0,2.8,2.8,5.0,10.0,7.0,1.0,1.0,1.75,1.0,7.75,5.5,3.25,4.0,1.0,10.0,7.75,2.5,7.428571428571428,3.0,10.0,4.4,1.0,6.142857142857142,10.0,10.0,5.736842105263158,5.0,1.0,1.0,4.0,4.75
2.0,19-24,1.0,1.0,7.0,10.0,7.0,1.0,1.0,7.75,4.0,5.0,1.9999999999999998,2.6000000000000005,3.625,1.0,2.8,6.2,6.0,7.576923076923078,5.0,3.25,8.2,10.0,7.75,1.0,8.2,10.0,1.0,8.2,2.8,5.0,10.0,6.3999999999999995,2.125,5.5,10.0,3.571428571428571,10.0,1.0,7.75,7.0,1.0,1.0,7.75,5.5,1.0,5.0,6.53846153846154,5.0,1.0,6.142857142857142,10.0,1.0,9.052631578947368,5.0,1.75,1.75,1.0,3.25
1.0,45-54,1.0,1.0,5.999999999999999,5.0,7.0,1.0,4.0,3.25,7.0,3.8,1.0,1.0,1.75,1.0,1.0,7.0,7.25,9.30769230769231,9.0,1.0,2.8,5.5,5.5,1.0,6.3999999999999995,10.0,1.0,2.8,2.8,2.3333333333333335,10.0,7.0,1.0,1.0,7.0,6.142857142857142,7.75,5.5,4.375,10.0,1.0,1.0,7.75,1.0,1.0,5.0,5.846153846153847,4.6,1.0,1.0,10.0,7.0,8.578947368421053,5.5,2.5,4.0,1.0,1.0
2.0,35-44,1.0,1.0,4.0,5.0,7.75,1.0,7.0,5.5,1.0,4.2,1.0,3.2,3.25,1.0,1.0,7.2,8.75,8.961538461538463,3.0,3.25,8.2,10.0,5.5,1.0,8.2,8.5,1.0,8.2,2.8,5.333333333333333,6.3999999999999995,7.0,6.625,5.5,8.5,3.571428571428571,7.75,3.25,3.25,4.0,7.0,10.0,4.75,5.5,5.5,5.0,9.307692307692308,3.4,1.0,3.571428571428572,10.0,5.5,6.684210526315789,5.0,2.5,2.5,1.0,3.25
1.0,19-24,1.0,1.0,1.0,5.0,7.75,1.0,7.0,3.25,7.0,5.0,5.0,6.2,6.25,1.0,1.0,8.0,6.25,6.538461538461538,10.0,1.0,1.0,5.5,1.75,1.0,6.3999999999999995,10.0,1.0,1.0,1.0,5.0,10.0,7.6000000000000005,3.25,3.25,4.75,1.0,5.5,3.25,6.625,4.0,1.0,5.5,7.75,1.0,1.0,5.5,6.53846153846154,5.0,1.0,6.142857142857142,10.0,7.0,6.684210526315789,6.25,1.0,2.5,1.0,1.0
2.0,35-44,1.0,1.0,5.0,10.0,5.5,1.0,4.0,5.5,4.0,1.0,4.0,5.0,5.875,5.5,1.0,9.2,4.5,6.884615384615386,3.0,3.25,8.2,10.0,7.0,1.0,4.6,7.0,7.0,8.2,2.8,1.0,10.0,4.0,1.0,1.0,5.5,4.857142857142857,5.5,7.75,5.5,7.0,7.0,5.5,6.25,1.0,5.5,5.0,6.53846153846154,2.6,1.0,6.142857142857142,10.0,1.0,9.526315789473683,5.75,1.75,1.75,7.0,3.25
1.0,65+,1.0,1.0,8.0,7.0,4.75,1.0,4.0,7.75,1.0,5.0,5.0,6.6,4.75,1.0,4.6,7.4,10.0,6.884615384615386,1.0,1.0,1.0,10.0,4.75,1.0,4.6,8.5,1.0,1.0,1.0,5.0,10.0,5.8,5.5,1.0,4.0,4.857142857142857,10.0,5.5,3.25,7.0,7.0,1.0,7.75,1.0,1.0,5.0,4.807692307692308,5.0,1.0,7.428571428571428,10.0,1.0,7.63157894736842,5.25,3.25,3.25,1.0,1.0
2.0,45-54,1.0,1.0,7.0,5.0,8.5,1.9999999999999998,4.0,5.5,7.0,4.4,1.0,1.4,2.125,5.5,1.0,6.6,7.5,6.884615384615386,9.0,1.0,8.2,10.0,8.5,1.0,8.2,8.5,4.0,10.0,2.8,4.0,10.0,4.6000000000000005,4.375,5.5,7.0,1.0,10.0,1.0,6.625,7.0,7.0,10.0,7.75,2.5,2.9285714285714284,5.0,7.923076923076923,5.0,1.0,6.142857142857142,10.0,7.0,8.578947368421053,3.5,4.0,4.0,1.0,2.5
1.0,45-54,3.0,1.0,5.0,7.0,3.25,1.0,10.0,5.5,1.0,3.0,5.0,7.6000000000000005,6.625,5.5,1.0,10.0,3.25,8.26923076923077,1.0,3.25,2.8,5.5,5.5,1.0,8.2,7.0,4.0,1.0,1.0,3.0,2.8,5.8,3.25,5.5,1.75,2.2857142857142856,6.625,5.5,1.0,7.0,1.0,5.5,7.75,1.0,4.857142857142857,1.0,10.0,2.2,1.0,7.428571428571428,10.0,1.0,7.157894736842105,3.25,1.75,2.5,4.0,1.7499999999999998
2.0,19-24,3.0,4.0,4.0,10.0,5.5,7.0,7.0,7.75,1.0,1.0,5.0,5.6,5.5,1.0,2.8,8.2,6.0,5.500000000000001,7.0,7.75,8.2,10.0,4.75,1.0,4.6,4.0,4.0,8.2,8.2,2.6666666666666665,2.8,3.4,1.0,1.0,7.0,1.0,5.5,7.75,1.0,7.0,1.0,1.0,7.75,1.0,5.5,7.5,6.884615384615386,2.0,1.0,10.0,10.0,7.0,3.3684210526315788,1.0,1.0,1.0,7.0,5.5
1.0,35-44,2.0,4.0,4.0,10.0,3.25,5.999999999999999,7.0,5.5,4.0,1.8,5.0,4.4,4.75,1.0,4.6,10.0,5.25,4.8076923076923075,7.0,7.75,8.2,5.5,4.0,1.0,4.6,7.0,4.0,8.2,8.2,2.6666666666666665,6.3999999999999995,5.199999999999999,1.0,1.0,5.5,3.571428571428571,5.5,4.375,1.0,10.0,4.0,10.0,7.75,1.0,3.5714285714285716,4.5,5.500000000000001,2.2,10.0,7.428571428571428,10.0,8.5,5.263157894736842,2.5,1.75,1.75,4.0,6.25
1.0,35-44,3.0,4.0,3.0,1.0,3.25,5.999999999999999,7.0,5.5,7.0,1.4,10.0,5.999999999999999,6.625,1.0,2.8,8.0,5.75,4.8076923076923075,4.0,3.25,8.2,5.5,7.0,1.0,2.8,4.0,4.0,8.2,8.2,2.3333333333333335,2.8,3.4,1.0,3.25,7.0,3.571428571428571,8.875,7.75,1.0,10.0,4.0,1.0,7.75,1.0,2.9285714285714284,4.0,8.615384615384615,1.6,10.0,7.428571428571428,10.0,7.0,4.31578947368421,2.75,1.75,2.5,7.0,2.5
2.0,25-34,3.0,4.0,1.0,5.0,4.75,3.0,4.0,7.75,4.0,1.0,7.0,8.0,9.625,1.0,2.8,8.4,5.25,4.8076923076923075,7.0,5.5,8.2,5.5,7.0,1.0,8.2,4.0,4.0,8.2,8.2,2.3333333333333335,1.0,4.6000000000000005,4.375,3.25,5.5,3.571428571428571,8.875,3.25,6.625,10.0,4.0,5.5,7.75,1.0,1.0,8.0,5.846153846153847,1.6,1.0,8.714285714285715,1.0,4.0,6.684210526315789,3.0,2.5,2.5,4.0,2.5
2.0,25-34,3.0,4.0,4.0,5.0,4.75,3.0,4.0,5.5,4.0,1.0,5.0,8.0,5.125,1.0,2.8,8.4,5.25,5.500000000000001,7.0,1.0,8.2,5.5,7.0,1.0,8.2,4.0,4.0,8.2,8.2,2.6666666666666665,1.0,4.6000000000000005,3.25,5.5,5.5,3.571428571428571,8.875,3.25,6.625,10.0,4.0,5.5,7.75,1.0,1.0,8.0,5.846153846153847,1.4,1.0,8.714285714285715,1.0,4.0,6.684210526315789,2.75,3.25,3.25,4.0,1.7499999999999998
2.0,19-24,3.0,4.0,4.0,10.0,3.25,7.0,4.0,7.75,1.0,1.0,5.0,5.6,5.5,1.0,2.8,9.8,6.5,5.153846153846154,7.0,7.75,8.2,10.0,4.75,1.0,4.6,4.0,7.0,8.2,8.2,1.6666666666666667,2.8,3.4,1.0,1.0,7.0,1.0,5.5,7.75,1.0,7.0,1.0,1.0,7.75,1.0,5.5,7.5,6.884615384615386,1.4,1.0,10.0,10.0,7.0,3.3684210526315788,1.0,1.0,1.0,7.0,5.5
1.0,55-64,1.0,4.0,5.0,1.0,3.25,7.0,7.0,3.25,7.0,1.6,5.999999999999999,8.6,7.0,10.0,2.8,2.4,5.25,5.500000000000001,7.0,7.75,8.2,10.0,4.0,1.0,6.3999999999999995,4.0,4.0,8.2,8.2,1.0,2.8,4.0,1.0,7.75,7.0,1.0,6.625,6.625,3.25,7.0,4.0,1.0,7.75,4.0,3.5714285714285716,8.0,6.53846153846154,1.0,10.0,8.714285714285715,10.0,5.5,2.894736842105263,2.5,2.5,2.5,4.0,6.25
1.0,35-44,3.0,4.0,3.0,1.0,3.25,5.999999999999999,4.0,10.0,1.0,1.4,10.0,5.999999999999999,6.25,1.0,2.8,8.0,5.75,5.153846153846154,4.0,3.25,8.2,5.5,7.0,1.0,2.8,4.0,4.0,8.2,8.2,2.3333333333333335,2.8,4.6000000000000005,1.0,3.25,7.0,3.571428571428571,8.875,7.75,1.0,10.0,4.0,1.0,7.75,1.0,2.9285714285714284,4.0,8.615384615384615,1.6,10.0,7.428571428571428,10.0,7.0,4.31578947368421,1.0,1.75,2.5,7.0,2.5
2.0,35-44,3.0,4.0,7.0,10.0,4.0,1.9999999999999998,4.0,7.75,1.0,1.0,5.0,5.199999999999999,4.0,10.0,1.0,10.0,5.25,6.192307692307693,7.0,5.5,2.8,1.0,4.75,1.0,2.8,5.5,4.0,8.2,2.8,1.0,2.8,4.6000000000000005,4.375,1.0,4.0,1.0,5.5,5.5,5.5,4.0,10.0,1.0,7.000000000000001,1.0,5.5,7.5,4.115384615384616,1.0,10.0,7.428571428571428,10.0,5.5,6.684210526315789,1.0,2.5,3.25,4.0,4.0
1.0,45-54,3.0,4.0,9.0,2.0,3.25,5.0,1.0,5.5,7.0,5.8,8.0,7.200000000000001,7.0,5.5,2.8,2.0,4.25,5.500000000000001,7.0,3.25,8.2,10.0,4.75,1.0,8.2,5.5,4.0,2.8,8.2,7.0,1.0,4.6000000000000005,10.0,10.0,4.75,1.0,6.625,6.625,6.625,4.0,4.0,10.0,7.000000000000001,4.0,2.9285714285714284,6.0,4.115384615384616,4.6,1.0,8.714285714285715,10.0,10.0,3.3684210526315788,5.5,4.0,4.0,1.0,4.0
2.0,25-34,4.0,3.0,1.0,6.0,4.75,1.0,4.0,7.75,1.0,6.2,4.0,5.0,5.875,1.0,1.0,6.4,5.75,5.153846153846154,5.999999999999999,5.5,8.2,5.5,4.75,1.0,6.3999999999999995,5.5,7.0,1.0,1.0,2.0,10.0,5.199999999999999,3.25,1.0,7.0,2.2857142857142856,4.375,3.25,6.625,7.0,4.0,10.0,7.75,1.0,1.6428571428571428,5.5,5.846153846153847,4.2,1.0,6.142857142857142,10.0,4.0,6.210526315789474,2.0,4.0,9.25,4.0,5.5
1.0,35-44,3.0,3.0,1.0,5.0,4.75,1.0,4.0,7.75,1.0,6.2,5.999999999999999,5.4,4.75,1.0,1.0,6.799999999999999,5.25,5.153846153846154,3.0,5.5,8.2,5.5,5.5,1.0,8.2,5.5,7.0,2.8,2.8,3.6666666666666665,8.2,6.3999999999999995,2.125,3.25,4.75,2.2857142857142856,4.375,3.25,6.625,7.0,4.0,1.0,7.75,1.0,1.6428571428571428,5.0,6.53846153846154,3.2,1.0,6.142857142857142,10.0,4.0,3.8421052631578947,2.0,4.0,9.25,4.0,2.5
2.0,19-24,3.0,3.0,1.0,5.0,4.0,1.0,4.0,7.75,1.0,6.2,4.0,4.8,6.625,1.0,2.8,7.6,6.0,5.153846153846154,5.999999999999999,5.5,8.2,10.0,4.75,1.0,8.2,5.5,7.0,1.0,2.8,3.6666666666666665,8.2,6.3999999999999995,3.25,5.5,4.75,1.0,4.375,3.25,6.625,4.0,4.0,1.0,7.75,1.0,1.6428571428571428,5.5,6.53846153846154,3.0,1.0,6.142857142857142,10.0,4.0,5.736842105263158,2.0,4.0,9.25,2.5,5.5
1.0,45-54,3.0,3.0,1.0,6.0,4.75,1.0,4.0,7.75,1.0,6.0,7.0,7.0,7.0,10.0,1.0,7.4,6.25,4.8076923076923075,1.0,5.5,8.2,1.0,4.0,1.0,10.0,7.0,4.0,2.8,2.8,6.0,4.6,7.0,3.25,5.5,4.75,2.2857142857142856,4.375,3.25,5.5,4.0,1.0,1.0,7.75,1.0,2.9285714285714284,5.5,4.461538461538462,2.0,1.0,6.142857142857142,10.0,1.0,4.7894736842105265,5.0,4.0,9.25,1.0,3.25
1.0,25-34,5.0,3.0,1.0,7.0,4.75,1.0,4.0,7.75,1.0,5.8,7.0,7.0,7.0,5.5,1.0,7.2,4.75,6.192307692307693,5.999999999999999,3.25,8.2,10.0,4.75,1.0,8.2,5.5,4.0,1.0,1.0,2.0,6.3999999999999995,6.3999999999999995,3.25,1.0,2.5,1.0,3.25,3.25,6.625,1.0,4.0,1.0,7.75,1.0,1.0,5.0,4.461538461538462,3.8,1.0,6.142857142857142,10.0,1.0,6.210526315789474,5.0,4.0,9.25,4.0,4.75
2.0,55-64,1.0,3.0,4.0,9.0,4.0,1.0,1.0,7.75,4.0,1.6,7.0,5.999999999999999,6.625,1.0,1.0,7.8,6.0,4.8076923076923075,5.999999999999999,3.25,8.2,10.0,6.25,1.0,6.3999999999999995,4.0,4.0,1.0,2.8,2.3333333333333335,8.2,5.8,4.375,1.0,7.0,4.857142857142857,3.25,2.125,5.5,10.0,7.0,5.5,7.75,1.0,2.2857142857142856,6.0,6.53846153846154,1.2,1.0,6.142857142857142,10.0,5.5,6.210526315789474,2.25,1.0,1.0,4.0,2.5
1.0,55-64,1.0,3.0,4.0,4.0,6.25,1.0,7.0,3.25,4.0,1.4,5.0,5.0,6.25,5.5,4.6,5.0,5.0,3.4230769230769234,4.0,1.0,8.2,5.5,7.0,1.0,8.2,10.0,4.0,2.8,2.8,2.0,10.0,7.6000000000000005,2.125,3.25,7.0,1.0,1.0,7.75,4.375,10.0,7.0,1.0,7.75,1.0,2.2857142857142856,2.0,6.1923076923076925,1.2,1.0,7.428571428571428,1.0,10.0,5.736842105263158,3.5,1.0,1.0,2.5,4.0
2.0,35-44,3.0,3.0,4.0,4.0,6.25,4.0,7.0,3.25,7.0,1.8,5.0,5.0,5.875,1.0,2.8,4.2,4.75,6.192307692307693,5.999999999999999,1.0,8.2,10.0,7.0,1.0,8.2,10.0,4.0,2.8,2.8,4.0,8.2,8.2,2.125,1.0,7.0,1.0,1.0,6.625,4.375,10.0,4.0,5.5,7.75,1.0,2.2857142857142856,3.5,5.846153846153847,1.4,1.0,6.142857142857142,1.0,7.0,5.736842105263158,3.5,1.0,1.0,1.0,4.0
2.0,35-44,3.0,3.0,4.0,5.0,5.5,1.0,4.0,7.75,4.0,1.4,7.0,6.6,7.0,1.0,2.8,4.2,5.25,6.192307692307693,4.0,1.0,8.2,5.5,6.25,1.0,8.2,10.0,4.0,2.8,2.8,2.0,10.0,7.6000000000000005,2.125,1.0,4.75,1.0,1.0,6.625,3.25,10.0,7.0,1.0,7.75,1.0,2.2857142857142856,4.0,6.1923076923076925,2.6,1.0,6.142857142857142,1.0,4.0,6.684210526315789,3.5,1.0,1.0,4.0,4.0
1.0,25-34,3.0,3.0,1.0,9.0,4.75,1.0,7.0,5.5,1.0,7.0,5.999999999999999,3.8,5.125,5.5,2.8,7.4,6.0,5.846153846153847,5.999999999999999,3.25,8.2,10.0,4.0,1.0,10.0,5.5,4.0,1.0,1.0,4.0,10.0,5.199999999999999,1.0,1.0,4.75,7.428571428571429,5.5,3.25,6.625,4.0,4.0,1.0,7.75,1.0,1.0,5.5,5.500000000000001,2.0,1.0,6.142857142857142,10.0,1.0,6.684210526315789,5.75,6.25,9.25,4.0,4.75
2.0,25-34,3.0,4.0,1.9999999999999998,9.0,8.5,1.0,4.0,7.75,4.0,4.6,4.0,5.199999999999999,5.125,5.5,2.8,8.0,2.75,5.500000000000001,10.0,5.5,8.2,5.5,7.0,1.0,8.2,10.0,7.0,10.0,10.0,3.0,10.0,9.399999999999999,1.0,1.0,5.5,1.0,7.75,5.5,3.25,7.0,1.0,5.5,7.75,10.0,4.2142857142857135,3.0,8.26923076923077,1.6,1.0,8.714285714285715,10.0,10.0,5.736842105263158,3.25,1.0,1.0,1.0,5.5
2.0,25-34,3.0,4.0,5.999999999999999,4.0,7.75,1.0,4.0,7.75,4.0,5.0,4.0,5.4,5.5,1.0,2.8,9.0,7.0,7.576923076923078,9.0,3.25,8.2,5.5,9.25,1.0,10.0,10.0,7.0,10.0,10.0,2.6666666666666665,10.0,8.8,1.0,1.0,6.25,2.2857142857142856,10.0,6.625,3.25,10.0,1.0,1.0,7.75,2.5,1.6428571428571428,3.5,7.230769230769232,3.2,10.0,8.714285714285715,10.0,10.0,6.210526315789474,3.25,1.0,1.0,1.0,8.5
1.0,55-64,2.0,4.0,5.0,6.0,6.25,1.0,7.0,5.5,1.0,5.8,5.0,5.8,5.125,1.0,2.8,8.8,4.5,6.192307692307693,10.0,3.25,2.8,5.5,7.0,1.0,8.2,10.0,7.0,8.2,10.0,1.3333333333333333,10.0,10.0,1.0,1.0,7.75,2.2857142857142856,7.75,3.25,4.375,10.0,1.0,1.0,7.000000000000001,2.5,1.6428571428571428,2.5,8.26923076923077,2.0,1.0,8.714285714285715,10.0,10.0,6.210526315789474,1.75,1.0,1.0,1.0,3.25
1.0,25-34,3.0,4.0,5.999999999999999,4.0,6.25,1.0,7.0,3.25,1.0,3.6,3.0,3.6,2.5,1.0,2.8,8.6,3.5,4.8076923076923075,10.0,1.0,8.2,5.5,6.25,1.0,8.2,10.0,7.0,10.0,8.2,2.6666666666666665,10.0,8.2,1.0,1.0,4.75,1.0,4.375,6.625,4.375,10.0,1.0,5.5,7.75,2.5,2.2857142857142856,3.5,7.923076923076923,1.8,1.0,7.428571428571428,10.0,10.0,6.210526315789474,3.25,1.0,1.0,2.5,6.25
1.0,35-44,2.0,4.0,5.0,5.0,6.25,1.0,4.0,5.5,1.0,5.2,4.0,5.8,5.875,1.0,2.8,7.8,4.75,6.192307692307693,8.0,3.25,8.2,10.0,9.25,1.0,6.3999999999999995,10.0,7.0,10.0,10.0,2.6666666666666665,10.0,10.0,3.25,1.0,4.75,2.2857142857142856,5.5,6.625,5.5,7.0,1.0,1.0,7.75,1.0,2.2857142857142856,4.5,8.26923076923077,2.8,1.0,10.0,10.0,10.0,5.263157894736842,2.75,1.75,1.75,1.0,6.25
2.0,45-54,2.0,4.0,5.0,7.0,6.25,1.0,4.0,7.75,1.0,5.6,4.0,5.6,5.5,1.0,2.8,6.4,2.25,5.153846153846154,10.0,1.0,1.0,5.5,8.5,1.0,8.2,10.0,7.0,8.2,8.2,3.0,10.0,8.2,1.0,1.0,4.75,1.0,5.5,7.75,3.25,10.0,1.0,1.0,7.000000000000001,2.5,2.2857142857142856,5.0,7.230769230769232,3.0,1.0,7.428571428571428,10.0,10.0,5.736842105263158,3.25,1.0,1.0,4.0,4.0
1.0,25-34,3.0,4.0,5.999999999999999,6.0,7.0,1.0,7.0,3.25,4.0,5.2,5.999999999999999,7.200000000000001,5.875,1.0,2.8,8.8,3.0,5.846153846153847,10.0,3.25,2.8,10.0,7.0,1.0,6.3999999999999995,10.0,7.0,8.2,2.8,2.0,10.0,10.0,1.0,1.0,6.25,2.2857142857142856,6.625,6.625,3.25,7.0,1.0,5.5,7.75,2.5,1.6428571428571428,4.0,6.1923076923076925,3.2,1.0,8.714285714285715,10.0,10.0,7.157894736842105,4.0,2.5,2.5,2.5,3.25
2.0,55-64,1.0,4.0,5.999999999999999,6.0,7.75,1.0,4.0,7.75,1.0,4.6,4.0,5.0,4.0,1.0,2.8,8.8,5.75,6.538461538461538,10.0,1.0,2.8,5.5,8.5,1.0,8.2,10.0,4.0,8.2,10.0,3.333333333333334,10.0,8.2,1.0,1.0,4.75,3.571428571428571,7.75,5.5,2.125,10.0,1.0,1.0,7.75,2.5,3.5714285714285716,3.0,7.230769230769232,4.2,1.0,8.714285714285715,10.0,10.0,7.157894736842105,3.5,1.0,1.0,1.0,4.0
2.0,25-34,1.0,4.0,4.0,4.0,6.25,1.0,4.0,7.75,4.0,4.2,5.0,6.799999999999999,5.5,1.0,2.8,7.2,1.75,5.846153846153847,10.0,1.0,8.2,5.5,7.0,1.0,8.2,10.0,7.0,10.0,10.0,3.0,10.0,8.2,1.0,1.0,4.75,3.571428571428571,6.625,5.5,2.125,7.0,1.0,1.0,7.000000000000001,4.0,8.071428571428571,4.5,7.230769230769232,3.4,10.0,8.714285714285715,10.0,10.0,5.736842105263158,2.5,1.0,1.0,7.0,4.75
1.0,45-54,3.0,4.0,5.0,7.0,6.25,1.0,7.0,1.0,7.0,3.8,1.9999999999999998,4.8,2.5,1.0,2.8,6.6,5.25,3.0769230769230775,10.0,1.0,8.2,5.5,10.0,1.0,6.3999999999999995,10.0,10.0,10.0,8.2,3.333333333333334,10.0,10.0,1.0,1.0,4.75,2.2857142857142856,5.5,5.5,4.375,10.0,1.0,1.0,7.75,1.0,4.2142857142857135,5.5,7.230769230769232,3.0,10.0,8.714285714285715,10.0,10.0,5.263157894736842,3.75,1.0,1.0,1.0,2.5
1.0,35-44,2.0,4.0,4.0,4.0,3.25,1.0,4.0,5.5,4.0,1.0,1.9999999999999998,4.0,2.875,1.0,1.0,7.0,1.5,6.884615384615386,7.0,1.0,2.8,5.5,6.25,1.0,6.3999999999999995,8.5,4.0,1.0,1.0,5.0,10.0,7.6000000000000005,2.125,3.25,5.5,1.0,5.5,6.625,6.625,10.0,1.0,1.0,7.75,1.0,1.6428571428571428,4.5,8.26923076923077,1.6,10.0,4.857142857142858,10.0,4.0,8.105263157894736,2.75,1.0,1.0,1.0,4.0
2.0,35-44,3.0,4.0,4.0,8.0,3.25,1.0,7.0,5.5,1.0,1.0,3.0,7.0,7.0,1.0,1.0,8.2,1.0,5.500000000000001,8.0,1.0,1.0,5.5,7.0,1.0,4.6,7.0,4.0,8.2,8.2,4.0,10.0,6.3999999999999995,1.0,1.0,7.0,1.0,5.5,1.0,7.75,10.0,4.0,10.0,7.75,1.0,2.9285714285714284,1.0,8.961538461538463,1.0,1.0,7.428571428571428,10.0,10.0,9.052631578947368,1.0,1.0,1.75,4.0,1.0
2.0,35-44,5.0,4.0,7.0,3.0,5.5,1.0,4.0,5.5,4.0,1.0,1.9999999999999998,3.6,2.5,5.5,2.8,7.4,5.0,6.884615384615386,8.0,1.0,2.8,5.5,8.5,1.0,10.0,7.0,1.0,8.2,2.8,6.333333333333333,6.3999999999999995,8.2,5.5,5.5,7.75,1.0,4.375,3.25,6.625,7.0,7.0,1.0,7.75,5.5,3.5714285714285716,5.0,7.5769230769230775,3.0,1.0,7.428571428571428,1.0,1.0,8.105263157894736,1.5,1.0,2.5,1.0,4.0
2.0,45-54,1.0,4.0,4.0,10.0,5.5,1.0,4.0,7.75,1.0,1.8,3.0,5.8,7.0,1.0,2.8,10.0,1.0,5.153846153846154,10.0,1.0,2.8,5.5,5.5,1.0,10.0,8.5,10.0,8.2,8.2,4.0,10.0,5.8,1.0,1.0,10.0,1.0,10.0,3.25,2.125,7.0,4.0,10.0,7.75,2.5,1.0,3.0,8.26923076923077,1.0,1.0,1.0,10.0,10.0,9.526315789473683,1.0,1.0,1.0,5.5,1.0
1.0,35-44,5.0,4.0,5.999999999999999,10.0,5.5,1.0,4.0,5.5,4.0,1.0,7.0,6.6,7.0,1.0,4.6,10.0,5.5,9.30769230769231,1.0,1.0,8.2,10.0,1.75,1.0,6.3999999999999995,10.0,4.0,1.0,1.0,6.0,10.0,10.0,1.0,1.0,6.25,2.2857142857142856,4.375,4.375,5.5,7.0,1.0,5.5,7.75,1.0,1.0,5.5,10.0,2.6,1.0,6.142857142857142,10.0,1.0,8.578947368421053,2.0,1.0,1.0,1.0,1.0
2.0,45-54,1.0,4.0,4.0,10.0,4.0,1.0,4.0,3.25,10.0,1.0,5.0,5.4,6.25,5.5,2.8,10.0,7.75,5.153846153846154,10.0,3.25,2.8,5.5,1.0,1.0,10.0,7.0,10.0,2.8,2.8,1.0,10.0,7.0,1.0,1.0,7.0,1.0,5.5,5.5,2.125,10.0,1.0,1.0,1.0,1.0,1.0,3.5,7.5769230769230775,1.0,1.0,1.0,10.0,10.0,9.526315789473683,1.0,1.0,1.0,1.0,3.25
