sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,25-34,4.0,2.0,8.0,9.0,4.75,1.0,4.0,10.0,1.0,1.0,4.0,3.8,3.25,1.0,3.25,7.8,5.5,9.333333333333334,1.0,3.25,8.2,10.0,9.25,10.0,10.0,10.0,1.0,8.2,2.8,1.0,10.0,10.0,1.0,3.25,5.5,1.0,1.0,10.0,3.25,10.0,1.0,1.0,4.348837209302325,7.0,1.0,1.0,10.0,1.0,1.0,7.0,10.0,1.0,5.714285714285714,1.0,4.75,8.5,5.5,3.7
2.0,25-34,1.0,2.0,1.0,3.0,7.0,1.0,4.0,7.75,1.0,1.0,3.0,4.0,,1.0,3.25,4.8,5.5,9.0,1.0,1.0,8.2,5.5,6.25,10.0,6.3999999999999995,7.0,1.0,8.2,2.8,2.3333333333333335,2.8,9.399999999999999,2.125,1.0,4.75,1.0,7.75,6.625,1.0,10.0,7.0,1.0,4.348837209302325,4.0,5.09090909090909,5.0,7.333333333333334,1.0,1.0,10.0,5.5,5.5,7.000000000000001,2.5,2.5,2.5,,1.0
1.0,19-24,2.0,2.0,7.0,2.0,7.75,1.0,4.0,5.5,4.0,1.0,1.0,2.3999999999999995,4.0,1.0,3.25,6.0,7.0,8.2,1.0,1.0,10.0,5.5,5.5,10.0,8.2,10.0,1.0,10.0,2.8,1.0,2.8,9.399999999999999,2.125,1.0,4.75,1.0,8.875,3.25,1.0,10.0,7.0,10.0,4.348837209302325,5.5,6.7272727272727275,5.0,8.666666666666666,1.0,1.0,10.0,1.0,4.0,8.285714285714285,1.5,2.5,2.5,10.0,1.0
2.0,55-64,1.0,2.0,,,10.0,1.9999999999999998,4.0,7.75,1.0,1.0,4.0,3.7272727272727275,,1.0,1.0,5.0,6.333333333333333,7.0,1.0,1.0,8.2,1.0,5.0,10.0,6.3999999999999995,10.0,1.0,8.2,2.8,2.6666666666666665,1.0,10.0,1.0,1.0,4.0,1.0,,,1.0,10.0,4.0,5.5,4.348837209302325,4.0,2.6363636363636367,,,1.0,1.0,10.0,5.5,7.0,5.285714285714286,2.25,2.5,2.5,,1.0
1.0,19-24,1.0,2.0,4.0,9.0,6.25,1.9999999999999998,4.0,5.5,4.0,1.0,2.5,4.461538461538462,7.0,1.0,3.25,6.2,5.75,7.6000000000000005,1.0,1.0,8.2,5.5,7.0,10.0,8.2,8.5,1.0,10.0,2.8,1.0,2.8,10.0,2.125,1.0,5.5,3.25,8.875,4.375,4.375,7.0,7.0,5.5,4.348837209302325,1.0,2.6363636363636367,2.0,9.333333333333334,1.0,1.0,10.0,5.5,7.0,8.285714285714285,1.0,1.75,2.5,10.0,1.0
2.0,19-24,1.0,2.0,,,,3.0,1.0,5.5,1.0,1.0,5.999999999999999,6.25,10.0,1.0,1.0,,4.0,,1.0,3.25,1.0,5.5,7.0,10.0,2.8,10.0,1.0,10.0,10.0,4.0,1.0,10.0,2.125,1.0,2.5,1.0,,,1.0,4.0,1.0,5.5,4.348837209302325,1.0,1.0,,,1.0,10.0,10.0,10.0,1.0,4.857142857142857,2.25,1.0,1.75,1.0,1.0
1.0,19-24,1.0,2.0,1.0,1.0,7.75,1.0,1.0,5.5,1.0,2.8,5.5,4.300000000000001,,1.0,3.25,8.2,5.5,6.3999999999999995,1.0,1.0,10.0,10.0,7.75,10.0,8.2,10.0,1.0,10.0,10.0,1.0,2.8,10.0,2.125,1.0,4.0,1.0,3.25,1.0,1.0,7.0,1.0,10.0,4.767441860465116,1.0,1.0,1.0,9.333333333333334,3.25,10.0,10.0,1.0,1.0,8.714285714285714,2.25,1.0,1.75,1.0,1.9
2.0,25-34,1.0,2.0,,,,1.0,4.0,3.25,1.0,1.0,4.0,3.0,,1.0,1.0,,10.0,,1.0,1.0,1.0,,5.5,10.0,4.6,10.0,1.0,1.0,2.8,1.0,1.0,10.0,1.0,1.0,5.0,1.0,,,1.0,1.0,1.0,5.5,4.767441860465116,1.0,1.0,,,1.0,,10.0,1.0,2.5,7.428571428571429,1.0,1.0,1.75,1.0,2.8000000000000003
1.0,65+,1.0,2.0,1.0,1.0,7.0,1.0,4.0,3.25,1.0,1.0,4.0,4.0,,1.0,7.75,5.4,7.75,4.300000000000001,4.0,3.25,8.2,10.0,5.5,10.0,6.3999999999999995,7.0,1.0,8.2,8.2,1.0,1.0,7.0,2.125,3.25,4.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,4.348837209302325,5.5,3.454545454545454,6.0,8.333333333333334,1.0,1.0,8.5,10.0,4.0,7.428571428571429,1.0,1.0,4.75,1.0,3.7
2.0,25-34,1.0,2.0,1.0,1.0,7.0,1.0,4.0,3.25,1.0,1.0,4.0,4.0,,1.0,7.75,9.4,5.5,3.4,4.0,3.25,2.8,5.5,7.0,10.0,8.2,10.0,1.0,8.2,8.2,1.0,1.0,9.399999999999999,2.125,1.0,7.0,1.0,10.0,1.0,1.0,10.0,1.0,5.5,4.348837209302325,5.5,1.818181818181818,5.5,10.0,1.0,1.0,8.5,10.0,4.0,9.142857142857142,1.0,4.75,5.5,1.0,2.8000000000000003
1.0,25-34,3.0,2.0,1.0,1.0,10.0,1.0,7.0,3.25,1.0,1.0,4.0,5.8,,1.0,7.75,6.0,5.5,5.199999999999999,4.0,3.25,8.2,10.0,7.0,10.0,8.2,10.0,1.0,8.2,8.2,1.0,1.0,9.399999999999999,2.125,3.25,7.0,1.0,10.0,1.0,8.875,7.0,1.0,5.5,4.348837209302325,5.5,3.454545454545454,2.5,10.0,1.0,1.0,7.0,10.0,4.0,8.714285714285714,1.0,4.0,5.5,1.0,3.7
2.0,25-34,1.0,2.0,7.0,10.0,5.5,1.9999999999999998,1.0,5.5,7.0,1.0,4.0,3.5714285714285716,4.0,1.0,3.25,10.0,5.5,4.0,1.0,3.25,8.2,5.5,4.75,10.0,6.3999999999999995,10.0,1.0,2.8,1.0,1.0,1.0,10.0,1.0,1.0,4.75,2.125,10.0,3.25,1.0,7.0,4.0,1.0,4.348837209302325,2.5,1.818181818181818,1.0,10.0,1.0,10.0,5.5,5.5,2.5,4.857142857142857,3.0,1.0,1.75,4.0,3.7
1.0,35-44,1.0,2.0,10.0,10.0,4.75,4.0,4.0,5.5,7.0,1.0,4.0,3.6,4.75,1.0,3.25,10.0,3.25,3.4,1.0,3.25,2.8,5.5,5.5,10.0,4.6,10.0,1.0,2.8,2.8,1.0,1.0,10.0,1.0,1.0,4.0,1.0,3.25,5.5,2.125,7.0,4.0,1.0,4.348837209302325,4.0,1.818181818181818,1.0,10.0,1.0,10.0,5.5,1.0,1.0,5.714285714285714,1.0,3.25,4.0,1.0,1.9
2.0,35-44,1.0,2.0,10.0,10.0,4.75,1.0,1.0,5.5,7.0,1.0,3.0,3.357142857142857,4.0,1.0,1.0,9.8,3.25,3.6999999999999997,1.0,3.25,2.8,5.5,5.5,10.0,6.3999999999999995,10.0,1.0,2.8,1.0,1.0,1.0,10.0,1.0,1.0,4.0,3.25,10.0,1.0,3.25,7.0,1.0,1.0,4.348837209302325,4.0,1.818181818181818,1.0,10.0,1.0,1.0,7.0,10.0,1.0,9.142857142857142,1.0,1.75,1.75,1.0,3.7
1.0,19-24,5.0,2.0,10.0,1.0,4.75,1.0,7.0,3.25,4.0,1.0,5.999999999999999,3.6,4.0,1.0,3.25,10.0,3.25,3.6999999999999997,1.0,1.0,2.8,5.5,7.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,7.0,2.125,10.0,3.25,7.75,7.0,7.0,1.0,4.348837209302325,4.0,1.0,5.0,10.0,2.6,10.0,5.5,1.0,1.0,9.142857142857142,1.0,7.0,7.75,1.0,1.9
2.0,35-44,1.0,2.0,5.999999999999999,9.0,6.25,3.0,4.0,7.75,4.0,1.0,4.0,4.2727272727272725,5.999999999999999,1.0,3.25,7.2,6.5,9.142857142857142,1.0,1.0,2.8,1.0,2.5,10.0,8.2,10.0,1.0,1.0,8.2,3.333333333333334,2.8,10.0,1.0,1.0,3.25,1.0,5.5,5.5,2.125,7.0,10.0,5.5,4.348837209302325,1.0,4.272727272727273,1.0,10.0,1.0,1.0,2.5000000000000018,5.5,4.0,5.714285714285714,4.5,1.0,1.75,4.0,1.0
1.0,25-34,4.0,2.0,7.0,10.0,4.75,3.0,7.0,5.5,4.0,1.0,4.0,3.357142857142857,4.0,1.0,3.25,8.6,2.0,7.666666666666667,1.0,1.0,2.8,10.0,3.25,10.0,8.2,10.0,4.0,2.8,8.2,4.0,2.8,10.0,1.0,3.25,5.5,1.0,7.75,3.25,4.375,4.0,10.0,1.0,4.348837209302325,4.0,1.0,5.5,10.0,1.0,1.0,4.000000000000001,10.0,4.0,6.142857142857142,3.0,2.5,4.75,4.0,1.9
2.0,25-34,1.0,2.0,8.0,8.0,3.25,3.0,4.0,5.5,4.0,1.0,7.0,4.333333333333334,,1.0,5.5,6.0,4.0,9.0,1.0,1.0,2.8,10.0,1.9999999999999998,10.0,10.0,10.0,1.0,2.8,1.0,4.0,4.6,10.0,1.0,1.0,2.5,1.0,7.75,5.5,2.125,7.0,7.0,1.0,4.348837209302325,1.0,1.818181818181818,3.0,8.0,1.0,1.0,1.0,5.5,2.5,4.0,3.5,1.0,1.75,7.0,1.0
2.0,35-44,1.0,2.0,,,4.75,8.0,4.0,7.75,1.0,3.25,4.0,3.6999999999999997,7.0,1.0,3.25,10.0,3.25,8.5,1.0,3.25,2.8,5.5,6.25,10.0,8.2,7.0,1.0,2.8,2.8,2.6666666666666665,1.0,9.399999999999999,1.0,1.0,6.25,1.0,10.0,1.0,1.0,1.0,7.0,1.0,4.348837209302325,4.0,1.0,,,1.0,1.0,7.0,10.0,4.0,7.000000000000001,2.0,1.75,1.75,4.0,3.7
1.0,0-18,3.0,2.0,1.9999999999999998,10.0,7.0,1.0,4.0,7.75,1.0,1.0,4.0,3.769230769230769,4.0,1.0,3.25,8.2,3.25,,1.0,3.25,8.2,5.5,4.75,10.0,6.3999999999999995,10.0,1.0,2.8,2.8,1.0,1.0,10.0,1.0,1.0,7.0,2.125,10.0,1.0,1.0,10.0,7.0,1.0,4.767441860465116,4.0,1.0,5.5,7.0,1.0,1.0,8.5,10.0,1.0,9.142857142857142,2.0,3.25,4.0,7.0,3.7
1.0,19-24,3.0,2.0,5.0,10.0,5.5,1.0,1.0,10.0,1.0,1.0,4.0,3.6,4.0,1.0,3.25,10.0,5.5,6.699999999999999,1.0,3.25,8.2,5.5,4.75,10.0,10.0,7.0,1.0,2.8,2.8,1.0,1.0,8.8,3.25,1.0,7.75,2.125,10.0,7.75,1.0,10.0,7.0,1.0,4.348837209302325,4.0,1.0,5.5,10.0,1.0,1.0,8.5,10.0,2.5,7.000000000000001,3.0,2.5,3.25,5.5,3.7
1.0,19-24,1.0,3.0,7.0,9.0,7.0,3.0,7.0,5.5,1.0,1.0,4.0,4.0,,1.0,3.25,9.8,3.25,5.199999999999999,8.0,3.25,2.8,1.0,7.0,10.0,6.3999999999999995,7.0,1.0,8.2,8.2,1.0,1.0,8.2,1.0,1.0,7.0,1.0,10.0,1.0,4.375,10.0,7.0,1.0,4.348837209302325,4.0,1.0,3.5,8.666666666666666,1.0,1.0,7.0,10.0,7.0,6.57142857142857,1.0,1.75,1.75,5.5,1.9
2.0,25-34,1.0,3.0,5.999999999999999,8.0,8.5,3.0,4.0,7.75,1.0,1.0,4.0,3.8,4.0,1.0,3.25,9.2,5.5,5.8,7.0,1.0,2.8,5.5,6.25,10.0,8.2,7.0,1.0,2.8,2.8,1.0,1.0,7.0,1.0,1.0,5.5,1.0,10.0,1.0,4.375,10.0,7.0,1.0,4.348837209302325,4.0,1.0,3.5,10.0,2.8,1.0,7.0,10.0,4.0,4.857142857142857,1.0,1.0,1.75,7.0,1.9
1.0,45-54,1.0,3.0,5.999999999999999,9.0,9.25,3.0,4.0,7.75,1.0,1.0,4.0,4.0,4.0,1.0,3.25,10.0,3.25,5.333333333333334,8.0,3.25,2.8,1.0,6.25,10.0,8.2,7.0,7.0,2.8,2.8,1.0,1.0,7.6000000000000005,1.0,1.0,6.25,1.0,10.0,1.0,4.375,10.0,7.0,1.0,4.348837209302325,4.0,1.0,3.0,10.0,2.8,1.0,8.5,10.0,5.5,6.57142857142857,1.0,1.0,1.75,5.5,3.7
2.0,35-44,1.0,3.0,10.0,,4.75,5.999999999999999,4.0,5.5,1.0,1.0,7.0,4.9230769230769225,7.0,1.0,7.75,9.4,1.0,5.199999999999999,1.9999999999999998,1.0,1.0,1.0,7.75,10.0,8.2,7.0,1.0,1.0,1.0,1.3333333333333333,4.6,7.6000000000000005,1.0,1.0,6.25,2.125,5.5,3.25,1.0,10.0,7.0,5.5,4.348837209302325,1.0,2.6363636363636367,4.5,8.0,1.0,1.0,8.5,1.0,1.0,6.142857142857142,1.0,3.25,4.0,5.5,3.7
1.0,25-34,2.0,3.0,9.0,9.0,5.5,5.0,1.0,5.5,1.0,1.0,5.0,5.999999999999999,6.25,1.0,3.25,9.8,3.25,5.5,1.0,1.0,2.8,5.5,6.25,10.0,6.3999999999999995,7.0,1.0,1.0,2.8,1.0,4.6,7.0,1.0,1.0,6.25,1.0,5.5,4.375,2.125,10.0,7.0,5.5,4.348837209302325,1.0,3.454545454545454,4.0,5.666666666666668,1.6,1.0,7.0,10.0,1.0,5.714285714285714,1.0,2.5,3.25,4.0,2.8000000000000003
2.0,19-24,1.0,3.0,10.0,10.0,4.75,5.999999999999999,1.0,7.75,1.0,1.0,5.999999999999999,6.6,5.5,1.0,5.5,9.0,3.25,5.8,1.0,1.0,2.8,1.0,8.5,10.0,4.6,8.5,1.0,1.0,2.8,1.0,4.6,7.0,2.125,1.0,4.0,2.125,2.125,4.375,1.0,7.0,7.0,1.0,4.348837209302325,1.0,2.6363636363636367,3.0,5.333333333333333,1.0,1.0,7.0,10.0,1.0,4.0,1.75,1.75,3.25,5.5,2.8000000000000003
2.0,0-18,3.0,2.0,3.0,1.0,7.0,1.0,4.0,7.75,1.0,1.0,4.0,4.428571428571429,4.0,1.0,3.25,4.4,5.0,4.0,1.0,1.0,10.0,10.0,10.0,10.0,8.2,7.0,4.0,10.0,2.8,1.0,4.6,7.0,1.0,1.0,2.5,1.0,10.0,10.0,4.375,10.0,4.0,10.0,5.186046511627907,5.5,1.818181818181818,5.5,5.0,1.0,1.0,1.0,10.0,1.0,3.571428571428571,2.0,1.75,2.5,7.0,1.0
2.0,25-34,4.0,2.0,1.0,10.0,7.75,1.0,1.0,7.75,4.0,1.0,1.0,4.200000000000001,4.0,1.0,5.5,6.6,4.25,3.4,1.0,1.0,10.0,5.5,7.75,10.0,6.3999999999999995,7.0,4.0,2.8,8.2,1.0,6.3999999999999995,8.2,2.125,1.0,4.0,1.0,10.0,7.75,3.25,7.0,7.0,1.0,4.348837209302325,1.0,1.818181818181818,1.0,7.333333333333334,1.8,1.0,5.5,10.0,1.0,7.428571428571429,1.75,2.5,2.5,1.0,1.0
1.0,25-34,3.0,2.0,1.0,1.0,7.0,1.9999999999999998,4.0,7.75,1.0,1.0,3.0,3.4,4.0,1.0,7.75,6.2,2.75,5.199999999999999,1.0,3.25,1.0,10.0,5.5,10.0,8.2,8.5,4.0,8.2,1.0,1.0,6.3999999999999995,6.3999999999999995,3.25,1.0,4.0,2.125,10.0,5.5,3.25,10.0,10.0,1.0,4.348837209302325,2.5,1.818181818181818,1.0,7.666666666666667,1.8,1.0,7.0,10.0,1.0,6.142857142857142,1.0,3.25,4.0,1.0,1.9
1.0,19-24,2.0,2.0,1.0,10.0,7.0,1.0,1.0,7.75,7.0,1.0,3.0,6.3999999999999995,7.375,1.0,5.5,7.2,3.75,2.5,1.0,1.0,1.0,10.0,2.5,10.0,6.3999999999999995,5.5,1.0,1.0,1.0,1.0,4.6,7.0,4.375,1.0,4.75,1.0,10.0,10.0,3.25,10.0,10.0,1.0,4.348837209302325,2.5,1.818181818181818,5.5,3.0,2.0,1.0,7.0,10.0,1.0,5.714285714285714,2.5,1.0,1.75,1.0,1.0
2.0,19-24,2.0,2.0,10.0,1.0,5.5,1.0,1.0,7.75,4.0,1.0,5.0,5.4,4.6000000000000005,1.0,1.0,5.5,4.75,2.5,1.0,3.25,10.0,10.0,9.25,10.0,8.2,10.0,1.0,1.0,1.0,1.0,1.0,9.399999999999999,1.0,1.0,2.5,1.0,5.5,7.75,4.375,4.0,7.0,5.5,4.348837209302325,5.5,2.6363636363636367,3.0,7.333333333333334,1.0,1.0,8.5,10.0,1.0,6.57142857142857,1.0,1.0,1.75,7.0,1.0
1.0,65+,1.0,2.0,10.0,10.0,5.5,1.0,1.0,5.5,7.0,1.0,1.0,5.999999999999999,1.0,1.0,3.25,10.0,2.75,8.2,1.0,1.0,1.0,10.0,6.25,10.0,8.2,10.0,1.0,1.0,1.0,1.0,1.0,9.399999999999999,1.0,1.0,6.25,1.0,10.0,7.75,1.0,7.0,1.0,5.5,4.348837209302325,5.5,1.0,4.5,10.0,1.0,1.0,5.5,10.0,1.0,7.857142857142857,1.0,1.0,1.75,4.0,1.0
2.0,25-34,2.0,2.0,10.0,10.0,7.75,1.0,7.0,5.5,1.0,1.0,7.0,5.999999999999999,4.0,1.0,3.25,6.4,4.5,8.333333333333334,1.0,3.25,10.0,10.0,6.25,10.0,8.2,10.0,1.0,10.0,10.0,1.0,1.0,8.2,1.0,1.0,7.0,1.0,5.5,5.5,1.0,7.0,1.0,1.0,4.348837209302325,5.5,1.0,1.5,10.0,1.0,1.0,7.0,10.0,1.0,7.857142857142857,1.0,1.75,4.0,7.0,2.8000000000000003
1.0,19-24,1.0,2.0,7.0,10.0,6.25,1.0,4.0,5.5,4.0,1.0,7.0,7.6000000000000005,10.0,1.0,7.75,10.0,6.5,2.8000000000000003,1.0,1.0,2.8,10.0,10.0,10.0,6.3999999999999995,5.5,1.0,10.0,1.0,1.0,4.6,2.8000000000000003,1.0,1.0,1.75,2.125,10.0,7.75,3.25,10.0,7.0,1.0,4.767441860465116,5.5,1.0,5.5,7.0,1.0,1.0,4.000000000000001,10.0,1.0,2.7142857142857144,1.0,1.0,2.5,7.0,1.0
2.0,19-24,2.0,2.0,10.0,10.0,4.75,1.9999999999999998,4.0,7.75,4.0,1.0,10.0,8.8,10.0,1.0,7.75,10.0,5.5,3.0999999999999996,1.0,10.0,10.0,5.5,10.0,10.0,6.3999999999999995,5.5,1.0,10.0,1.0,1.0,4.6,4.6000000000000005,1.0,1.0,1.75,3.25,10.0,5.5,2.125,10.0,4.0,1.0,4.767441860465116,1.0,1.818181818181818,5.5,10.0,1.0,1.0,4.000000000000001,10.0,1.0,1.4285714285714284,1.0,1.0,2.5,7.0,1.0
1.0,45-54,1.0,2.0,10.0,1.0,8.5,5.0,7.0,3.25,7.0,1.0,10.0,8.8,10.0,10.0,7.75,10.0,3.25,1.0,1.0,10.0,10.0,5.5,5.5,10.0,6.3999999999999995,7.0,4.0,1.0,8.2,2.6666666666666665,4.6,7.0,3.25,1.0,1.75,2.125,10.0,5.5,4.375,10.0,7.0,1.0,4.348837209302325,4.0,1.0,5.5,10.0,1.0,1.0,7.0,10.0,1.0,5.714285714285714,1.75,1.75,4.0,1.0,1.0
2.0,25-34,1.0,3.0,10.0,10.0,5.5,4.0,7.0,5.5,1.0,1.0,,1.0,,1.0,5.5,10.0,1.0,,1.0,1.0,1.0,1.0,2.5,10.0,10.0,7.0,1.0,1.0,1.0,1.0,4.6,7.0,1.0,1.0,7.0,1.0,10.0,1.0,2.125,10.0,7.0,10.0,4.348837209302325,1.0,1.0,5.5,6.666666666666667,1.0,1.0,5.5,10.0,1.0,3.571428571428571,1.0,1.75,2.5,1.0,1.0
1.0,45-54,1.0,3.0,4.0,10.0,6.25,5.999999999999999,4.0,5.5,4.0,1.0,10.0,8.8,7.0,10.0,5.5,10.0,4.25,,1.0,1.0,1.0,5.5,1.0,10.0,10.0,1.0,7.0,1.0,1.0,1.0,4.6,1.0,1.0,1.0,4.0,1.0,1.0,10.0,2.125,7.0,7.0,1.0,4.348837209302325,4.0,1.0,5.0,5.0,1.0,1.0,7.0,10.0,1.0,7.000000000000001,1.0,1.0,1.75,1.0,1.0
2.0,19-24,2.0,3.0,4.0,10.0,4.0,5.0,4.0,3.25,4.0,1.0,1.0,1.0,5.5,5.5,1.0,10.0,10.0,,1.0,1.0,1.0,5.5,6.25,10.0,6.3999999999999995,4.0,7.0,1.0,1.0,1.0,4.6,4.0,1.0,1.0,7.0,2.125,5.5,5.5,2.125,7.0,7.0,10.0,4.348837209302325,4.0,2.6363636363636367,5.5,10.0,1.0,1.0,5.5,10.0,1.0,6.57142857142857,1.0,1.75,2.5,7.0,1.0
1.0,35-44,2.0,3.0,4.0,10.0,7.0,4.0,4.0,5.5,4.0,1.0,7.0,5.4,9.25,1.0,1.0,10.0,3.25,5.5,1.0,1.0,1.0,5.5,7.0,10.0,8.2,4.0,4.0,1.0,1.0,1.0,4.6,4.0,2.125,1.0,4.0,1.0,10.0,1.0,2.125,7.0,7.0,5.5,4.348837209302325,4.0,1.0,5.0,5.0,1.0,1.0,5.5,10.0,1.0,4.857142857142857,1.0,1.75,2.5,1.0,1.0
2.0,35-44,1.0,2.0,10.0,1.0,1.0,5.999999999999999,7.0,5.5,4.0,2.6,1.0,2.3999999999999995,4.375,5.5,5.5,7.8,5.25,5.8,1.0,5.5,1.0,5.5,6.25,10.0,6.3999999999999995,7.0,1.0,1.0,1.0,1.0,2.8,8.8,1.0,1.0,4.0,2.125,10.0,1.0,1.0,7.0,7.0,5.5,4.348837209302325,4.0,1.0,3.5,7.666666666666667,1.0,1.0,8.5,1.0,1.0,7.857142857142857,1.0,1.0,8.5,1.0,1.0
1.0,19-24,1.0,2.0,8.0,9.0,1.0,5.999999999999999,4.0,5.5,1.0,1.0,4.0,4.545454545454545,4.0,1.0,5.5,9.2,4.75,5.5,1.0,1.0,2.8,10.0,1.0,10.0,10.0,7.0,4.0,1.0,1.0,1.0,1.0,8.8,2.125,1.0,5.5,2.125,10.0,1.0,5.5,10.0,7.0,1.0,4.348837209302325,1.0,1.0,4.0,6.0,1.0,1.0,8.5,1.0,1.0,4.857142857142857,1.0,1.0,10.0,1.0,1.0
1.0,35-44,1.0,2.0,10.0,8.0,2.5,1.0,1.0,5.5,4.0,1.0,3.0,1.9999999999999998,2.125,1.0,5.5,8.4,5.25,7.8999999999999995,1.0,1.0,1.0,5.5,5.5,10.0,10.0,10.0,4.0,1.0,1.0,1.0,6.3999999999999995,9.399999999999999,1.0,1.0,6.25,1.0,10.0,5.5,5.5,4.0,7.0,5.5,4.767441860465116,1.0,2.6363636363636367,6.5,8.0,1.0,1.0,8.5,1.0,1.0,6.57142857142857,1.0,1.0,5.5,5.5,1.0
2.0,19-24,4.0,2.0,5.999999999999999,4.0,6.25,1.0,4.0,10.0,1.0,1.0,4.0,3.2,5.125,1.0,5.5,8.2,5.5,9.7,1.0,3.25,10.0,5.5,8.5,10.0,8.2,10.0,1.0,8.2,2.8,1.0,10.0,8.8,1.0,1.0,4.75,3.25,10.0,3.25,2.125,10.0,1.0,1.0,4.348837209302325,7.0,1.818181818181818,1.0,7.0,1.0,1.0,8.5,10.0,1.0,4.0,1.0,3.25,7.0,7.0,4.6000000000000005
1.0,25-34,1.0,2.0,8.0,3.0,5.5,1.0,4.0,7.75,1.0,1.0,4.0,3.6,3.625,1.0,3.25,6.4,7.75,7.300000000000001,1.0,3.25,2.8,5.5,8.5,10.0,6.3999999999999995,10.0,1.0,8.2,8.2,1.0,10.0,10.0,1.0,1.0,4.0,2.125,7.75,5.5,2.125,10.0,1.0,1.0,4.348837209302325,7.0,2.6363636363636367,3.5,7.333333333333334,1.0,1.0,7.0,10.0,1.0,4.0,1.0,1.75,2.5,4.0,1.0
2.0,25-34,1.0,2.0,7.0,3.0,6.25,4.0,7.0,7.75,1.0,1.0,4.0,3.4,3.5714285714285716,1.0,5.5,8.2,3.25,9.7,1.0,3.25,10.0,5.5,7.75,10.0,6.3999999999999995,7.0,1.0,8.2,2.8,1.0,10.0,8.8,1.0,1.0,1.0,2.125,6.625,7.75,2.125,10.0,1.0,5.5,4.348837209302325,7.0,1.818181818181818,2.0,8.0,1.0,1.0,8.5,10.0,1.0,6.142857142857142,1.0,1.75,2.5,4.0,2.8000000000000003
1.0,19-24,3.0,2.0,7.0,1.0,6.25,5.0,4.0,10.0,1.0,1.0,5.999999999999999,4.0,4.0,1.0,5.5,4.6,7.75,9.1,1.0,7.75,10.0,10.0,8.5,10.0,6.3999999999999995,7.0,1.0,8.2,8.2,1.0,6.3999999999999995,10.0,2.125,1.0,5.5,1.0,10.0,10.0,3.25,10.0,1.0,1.0,4.767441860465116,7.0,1.818181818181818,1.0,8.333333333333334,1.0,1.0,7.0,10.0,1.0,4.0,1.0,2.5,3.25,5.5,3.7
1.0,25-34,1.0,2.0,10.0,1.0,4.75,5.999999999999999,7.0,5.5,1.0,10.0,1.9999999999999998,2.8000000000000003,3.25,1.0,5.5,8.2,3.25,8.8,1.0,1.0,10.0,5.5,10.0,10.0,8.2,10.0,1.0,10.0,1.0,10.0,10.0,8.8,1.0,3.25,3.25,1.0,10.0,7.75,6.625,7.0,7.0,1.0,4.767441860465116,5.5,1.0,1.0,10.0,10.0,1.0,4.000000000000001,10.0,1.0,5.714285714285714,7.75,1.0,4.0,4.0,1.0
