construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,offline_political_participation|WVS_E,outgroup_trust|WVS_G,postmaterialist_values|WVS_E,religious_belief|WVS_F,religious_practice_and_self_identification|WVS_F,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,work_ethic|WVS_C
authoritarian_governance_tolerance|WVS_E,0.0,36.9190530480853,23.608463821265712,25.971551943103886,39.29760777244813,32.5392611216696,91.88660801564028,29.374065370647298,32.442245961164026,30.900081002525376,34.3108504398827,24.56785082346536,32.87765629625316,25.63473568011775,51.88145484022273,31.14404727307953,27.623285131627735,28.08988764044944,23.006611350224077,41.66332776813452,38.155463976126185,16.129032258064516,37.304211397265334,38.80476921951576,21.691973969631235,31.442967939534654,28.966002733032425,31.561131023496614,9999.0,9999.0,24.75715995435442
autocracy_support|WVS_E,36.9190530480853,0.0,16.129032258064516,27.464740044247787,34.96503496503497,26.756024819169724,91.20482338113567,32.0257626087177,34.89075833686377,35.561069534481646,32.07799557544888,27.61008851524018,26.68869434887761,21.929824561403507,48.176543721508494,34.3108504398827,28.640034081446913,23.52941176470588,24.469315827705884,34.72222222222222,42.81645250808246,20.79002079002079,36.12903225806451,43.46575775147204,17.699115044247787,25.510204081632654,32.19186866743619,29.909127254259996,9999.0,9999.0,24.04042466312781
child_qualities_autonomy_self_expression|WVS_A,23.608463821265712,16.129032258064516,0.0,16.043088904582547,23.88309770739945,10.626992561105206,75.07579112307116,17.18213058419244,18.76172607879925,22.250480307662052,15.948963317384369,11.481056257175661,10.559662090813093,7.122507122507122,33.369226282612104,18.181818181818183,14.57725947521866,8.703220191470844,8.340283569641368,22.075055187637968,29.50586328126287,7.479431563201196,20.0,28.169014084507044,6.277463904582548,15.818159296420166,18.975332068311197,18.487476114594756,9999.0,9999.0,7.911392405063291
child_qualities_conformity_tradition|WVS_A,25.971551943103886,27.464740044247787,16.043088904582547,0.0,27.3712588028169,15.015015015015013,85.46743635888,22.675736961451246,26.15573338813888,24.613568429500226,26.888912671232877,15.822784810126581,20.951307326621922,14.245014245014245,40.49173340511923,24.857534700054384,18.45018450184502,12.106537530266342,12.437810945273633,31.09452736318408,31.868951403101043,9.84251968503937,18.01801801801802,32.51825664649061,9.765625,20.236829188481675,21.929824561403507,21.97563721001221,9999.0,9999.0,12.360939431396787
child_qualities_prosocial_diligence|WVS_A,39.29760777244813,34.96503496503497,23.88309770739945,27.3712588028169,0.0,32.80613259624484,93.30744516169689,31.932281367286812,38.52613589486711,41.296247683452904,34.72892147404978,27.645794445387182,28.791316129438826,25.548445558178297,51.795164718283274,35.49472145934642,28.546552840016027,20.833333333333332,21.14164904862579,39.79836546653624,48.55163065705372,26.525198938992045,37.50826115991875,45.695521443266344,17.6056338028169,28.076837991298575,32.0983874260053,29.81564601282911,9999.0,9999.0,25.02403142892966
civic_dishonesty_tolerance|WVS_F,32.5392611216696,26.756024819169724,10.626992561105206,15.015015015015013,32.80613259624484,0.0,77.48629764445002,20.74688796680498,24.449877750611247,31.18127760806594,19.880715705765407,16.58374792703151,12.970168612191959,9.242144177449168,35.48886333755415,28.80881074292339,14.749262536873157,16.726644995579935,16.949152542372882,32.702047748743176,38.43666058166675,16.41022886360508,20.329152610226092,38.79600664561225,15.200498793427935,14.04494382022472,12.88659793814433,15.360983102918585,9999.0,9999.0,7.782101167315175
confidence_in_civil_society_organizations|WVS_E,91.88660801564028,91.20482338113567,75.07579112307116,85.46743635888,93.30744516169689,77.48629764445002,0.0,89.00260887015855,92.07078946067527,90.52862450203662,89.70504590883237,84.1963943229766,64.51612903225806,75.08695355657096,101.33367271667595,90.77259077259077,86.64273039607912,80.11675305721906,82.63515484973533,97.15084631070913,97.78400747563744,75.75757575757576,87.53438466365066,98.43331271902701,75.70181135888,76.07682267387656,87.2272353015231,81.18279569892474,9999.0,9999.0,74.98733322073974
confidence_in_domestic_institutions|WVS_E,29.374065370647298,32.0257626087177,17.18213058419244,22.675736961451246,31.932281367286812,20.74688796680498,89.00260887015855,0.0,29.558246815682292,28.016081857043638,31.426851294400965,21.683851677983625,25.512329891091838,21.367521367521366,47.61424052762635,28.260048127597795,24.739285986146,17.421602787456447,20.122612204742342,38.77932862265279,35.271464830644454,13.245033112582782,21.83406113537118,35.920770074034024,14.326647564469914,24.797851752951587,26.082003587550687,26.536659774482125,9999.0,9999.0,17.241379310344826
confidence_in_international_organizations|WVS_E,32.442245961164026,34.89075833686377,18.76172607879925,26.15573338813888,38.52613589486711,24.449877750611247,92.07078946067527,29.558246815682292,0.0,31.08426244756037,34.495031884917694,24.752032268500354,29.32138816961234,19.417475728155342,45.664194888260326,31.328228718114524,27.80746657666273,26.246719160104984,23.19079279525907,40.836781266437214,38.33964542116118,16.31321370309951,32.154894580165816,38.98895066455076,20.920502092050206,28.113127902068385,29.15018417806742,31.68741437846209,9999.0,9999.0,19.607843137254903
democratic_system_evaluation|WVS_E,30.900081002525376,35.561069534481646,22.250480307662052,24.613568429500226,41.296247683452904,31.18127760806594,90.52862450203662,28.016081857043638,31.08426244756037,0.0,32.95286692627904,23.2098673098617,32.81014239847514,24.27675216651409,50.523471326619074,29.786063759475873,26.265301618024075,28.98550724637681,21.648627836620417,40.305344254530866,36.79748046252253,14.771048744460858,27.397260273972606,37.446785705912106,25.57544757033248,30.084984425930998,27.608019219428765,30.203147509892958,9999.0,9999.0,23.399176440750765
