construct,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voting_participation|WVS_E
crime_victimization|WVS_H,0.999999999999997,NaN,NaN,NaN,0.9999999999999999,0.9999999999999998,0.9999999999999996,0.9999999999999958,0.9999999999999973,0.9999999999999932,0.0,0.9999999999999983,0.9999999999999967,0.9999999999999941,NaN,NaN,0.9999999999999994,1.0,1.0,0.9999999999999984,NaN,1.0,1.0,1.0,NaN,0.9999999999999994,1.0,0.9999999999999966,0.9999999999999963,NaN,0.9999999999999997,0.999999999999999,0.9999999999999997,0.9999999999999986,1.0,0.9999999999999944,0.9999999999999993,1.0,0.9999999999999968,NaN,0.9999999999999986,NaN,NaN,0.9999999999999969
democratic_system_evaluation|WVS_E,NaN,NaN,0.9999999999999998,0.9999999999999988,0.9999999999999977,1.0,0.9999999999999997,NaN,NaN,NaN,0.9999999999999983,0.0,NaN,NaN,NaN,1.0,0.9999999999999998,1.0,1.0,1.0,NaN,0.9999999999999986,0.9999999999999987,0.9999999999999981,0.9999999999999999,NaN,0.9999999999999982,NaN,NaN,0.9999999999999992,1.0,1.0,0.9999999999999996,1.0,0.9999999999999997,NaN,0.9999999999999997,0.999999999999999,NaN,1.0,0.9999999999999999,NaN,NaN,NaN
democratic_values_importance|WVS_E,NaN,NaN,0.9999999999999906,0.9999999999999979,0.9999999999999966,0.9999999999999988,0.9999999999999981,NaN,NaN,NaN,0.9999999999999967,NaN,0.0,NaN,NaN,0.9999999999999994,0.9999999999999994,0.999999999999998,0.9999999999999983,0.999999999999999,NaN,0.9999999999999981,0.999999999999998,0.9999999999999962,0.9999999999999968,NaN,0.999999999999997,NaN,NaN,0.9999999999999994,0.999999999999999,0.9999999999999983,0.9999999999999998,0.9999999999999978,0.9999999999999987,NaN,0.9999999999999983,1.0,NaN,1.0,1.0,NaN,NaN,NaN
economic_ideology|WVS_E,NaN,NaN,0.9999999999999968,0.9999999999999966,0.999999999999996,0.9999999999999959,0.9999999999999986,NaN,NaN,NaN,0.9999999999999941,NaN,NaN,0.0,NaN,0.9999999999999967,0.9999999999999996,0.9999999999999996,1.0,0.9999999999999983,NaN,0.9999999999999968,0.9999999999999934,0.9999999999999946,0.9999999999999983,NaN,0.9999999999999957,NaN,NaN,0.9999999999999978,0.9999999999999981,0.9999999999999977,0.9999999999999991,0.9999999999999999,0.999999999999999,NaN,0.9999999999999987,0.9999999999999967,NaN,0.9999999999999998,0.9999999999999993,NaN,NaN,NaN
electoral_integrity|WVS_E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
existential_threat_worry|WVS_H,0.9999999999999999,0.9999999999999998,NaN,1.0,1.0,1.0,1.0,0.9999999999999981,0.9999999999999997,0.9999999999999963,NaN,1.0,0.9999999999999994,0.9999999999999967,NaN,0.0,1.0,1.0,0.9999999999999938,1.0,NaN,1.0,1.0,1.0,NaN,0.9999999999999999,1.0,0.9999999999999994,0.9999999999999998,NaN,1.0,1.0,1.0,1.0,1.0,0.9999999999999973,1.0,1.0,0.9999999999999996,NaN,1.0,NaN,NaN,1.0
female_income_threat_to_marriage|WVS_D,0.9999999999999998,0.9999999999999999,0.9999999999999994,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,0.9999999999999996,0.9999999999999993,0.9999999999999994,0.9999999999999998,0.9999999999999994,0.9999999999999996,NaN,1.0,0.0,NaN,1.0,1.0,NaN,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999997,1.0,0.9999999999999997,0.9999999999999994,0.9999999999999997,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,1.0,1.0,NaN,NaN,0.9999999999999998
gender_role_traditionalism|WVS_D,1.0,0.9999999999999994,0.999999999999999,1.0,0.999999999999999,1.0,1.0,1.0,0.9999999999999991,0.9999999999999996,1.0,1.0,0.999999999999998,0.9999999999999996,NaN,1.0,NaN,0.0,1.0,1.0,NaN,0.9999999999999991,1.0,0.9999999999999991,0.9999999999999996,1.0,0.999999999999999,0.9999999999999981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,0.9999999999999991,1.0,1.0,NaN,NaN,1.0
immigrant_origin_status|WVS_G,1.0,0.9999999999999996,0.9999999999999974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999983,1.0,NaN,0.9999999999999938,1.0,1.0,0.0,1.0,NaN,1.0,1.0,1.0,0.9999999999999992,0.999999999997894,NaN,0.9999999999999983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999991,1.0,1.0,NaN,NaN,1.0
importance_of_life_domains|WVS_A,1.0,1.0,1.0,NaN,NaN,NaN,1.0,0.9999999999999988,1.0,0.999999999999998,0.9999999999999984,1.0,0.999999999999999,0.9999999999999983,NaN,1.0,1.0,1.0,1.0,0.0,NaN,1.0,0.9999999999999981,0.9999999999999976,1.0,1.0,0.9999999999999986,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999987,1.0,NaN,1.0,1.0,NaN,NaN,NaN,1.0
institutional_threat_perception|WVS_H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
job_scarcity_gender_discrimination|WVS_C,0.9999999999999982,0.9999999999999992,0.999999999999998,1.0,1.0,1.0,0.9999999999999997,0.9999999999999966,0.9999999999999979,0.9999999999999958,1.0,0.9999999999999986,0.9999999999999981,0.9999999999999968,NaN,1.0,0.9999999999999999,0.9999999999999991,1.0,1.0,NaN,0.0,NaN,1.0,0.9999999999999989,1.0,0.9999999999999999,0.999999999999998,0.9999999999999978,0.9999999999999996,1.0,1.0,0.9999999999999997,0.9999999999999979,0.9999999999999998,0.999999999999997,0.9999999999999994,1.0,0.9999999999999981,0.9999999999999983,0.9999999999999989,NaN,NaN,0.9999999999999976
job_scarcity_nativist_preference|WVS_C,0.999999999999999,0.9999999999999993,0.9999999999999986,1.0,1.0,1.0,1.0,0.9999999999999948,0.9999999999999984,0.9999999999999923,1.0,0.9999999999999987,0.999999999999998,0.9999999999999934,NaN,1.0,1.0,1.0,1.0,0.9999999999999981,NaN,NaN,0.0,1.0,0.9999999999999989,1.0,1.0,0.9999999999999963,0.9999999999999963,1.0,0.9999999999999989,0.9999999999999992,1.0,1.0,1.0,0.999999999999994,1.0,1.0,0.9999999999999973,0.9999999999999988,0.9999999999999994,NaN,NaN,0.9999999999999984
life_autonomy_morality_permissiveness|WVS_F,0.9999999999999982,0.9999999999999991,0.9999999999999968,1.0,1.0,1.0,NaN,0.9999999999999949,0.9999999999999973,0.9999999999999934,1.0,0.9999999999999981,0.9999999999999962,0.9999999999999946,NaN,1.0,0.9999999999999998,0.9999999999999991,1.0,0.9999999999999976,NaN,1.0,1.0,0.0,0.9999999999999983,1.0,1.0,0.9999999999999944,0.9999999999999963,0.9999999999999991,NaN,NaN,NaN,NaN,0.9999999999999994,0.999999999999995,NaN,0.9999999999999996,0.9999999999999972,0.9999999999999959,0.999999999999997,NaN,NaN,0.9999999999999931
neighborhood_disorder_and_crime|WVS_H,0.9999999999999996,0.9999999999999988,NaN,0.9999999999999988,0.9999999999999983,0.9999999999999998,0.9999999999999999,0.9999999999999997,0.9999999999999984,0.9999999999999983,NaN,0.9999999999999999,0.9999999999999968,0.9999999999999983,NaN,NaN,0.9999999999999997,0.9999999999999996,0.9999999999999992,1.0,NaN,0.9999999999999989,0.9999999999999989,0.9999999999999983,0.0,0.9999999999999998,0.9999999999999986,0.9999999999999963,0.999999999999999,NaN,0.9999999999999994,0.9999999999999993,0.9999999999999997,1.0,0.9999999999999996,0.9999999999999982,0.9999999999999999,0.9999999999999992,0.9999999999999981,NaN,1.0,NaN,NaN,1.0
offline_political_participation|WVS_E,NaN,NaN,0.9999999999999994,1.0,1.0,1.0,1.0,NaN,NaN,NaN,0.9999999999999994,NaN,NaN,NaN,NaN,0.9999999999999999,1.0,1.0,0.999999999997894,1.0,NaN,1.0,1.0,1.0,0.9999999999999998,0.0,1.0,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,NaN,1.0,1.0,NaN,NaN,NaN
outgroup_trust|WVS_G,0.9999999999999983,0.9999999999999991,0.9999999999999967,1.0,1.0,1.0,0.999999999999999,0.9999999999999959,0.9999999999999978,0.9999999999999948,1.0,0.9999999999999982,0.999999999999997,0.9999999999999957,NaN,1.0,0.9999999999999997,0.999999999999999,NaN,0.9999999999999986,NaN,0.9999999999999999,1.0,1.0,0.9999999999999986,1.0,0.0,0.999999999999995,0.999999999999997,0.9999999999999993,1.0,0.9999999999999997,0.9999999999999996,0.9999999999999981,0.9999999999999996,0.999999999999996,0.9999999999999987,0.9999999999999997,0.9999999999999974,0.9999999999999968,0.9999999999999977,NaN,NaN,0.9999999999999951
political_information_sources|WVS_E,NaN,NaN,0.9999999999999838,0.9999999999999979,0.9999999999999946,0.9999999999999989,0.9999999999999977,NaN,NaN,NaN,0.9999999999999966,NaN,NaN,NaN,NaN,0.9999999999999994,0.9999999999999994,0.9999999999999981,0.9999999999999983,0.9999999999999999,NaN,0.999999999999998,0.9999999999999963,0.9999999999999944,0.9999999999999963,NaN,0.999999999999995,0.0,NaN,0.9999999999999997,0.9999999999999989,0.9999999999999986,0.9999999999999997,0.9999999999999979,0.999999999999998,NaN,0.9999999999999999,1.0,NaN,1.0,1.0,NaN,NaN,NaN
postmaterialist_values|WVS_E,NaN,NaN,0.9999999999999982,0.9999999999999978,0.9999999999999971,0.9999999999999981,0.9999999999999991,NaN,NaN,NaN,0.9999999999999963,NaN,NaN,NaN,NaN,0.9999999999999998,0.9999999999999997,1.0,1.0,0.9999999999999999,NaN,0.9999999999999978,0.9999999999999963,0.9999999999999963,0.999999999999999,NaN,0.999999999999997,NaN,0.0,0.9999999999999981,1.0,0.9999999999999988,0.9999999999999993,1.0,0.9999999999999993,NaN,0.9999999999999992,0.9999999999999979,NaN,0.9999999999999999,0.9999999999999997,NaN,NaN,NaN
precautionary_security_behaviors|WVS_H,0.9999999999999994,0.9999999999999999,NaN,0.9999999999999996,0.9999999999999991,1.0,1.0,0.9999999999999964,0.9999999999999996,0.9999999999999957,NaN,0.9999999999999992,0.9999999999999994,0.9999999999999978,NaN,NaN,1.0,1.0,1.0,1.0,NaN,0.9999999999999996,1.0,0.9999999999999991,NaN,1.0,0.9999999999999993,0.9999999999999997,0.9999999999999981,0.0,1.0,1.0,1.0,1.0,1.0,0.999999999999998,1.0,0.9999999999999998,0.9999999999999993,NaN,1.0,NaN,NaN,0.9999999999999996
religion_versus_secularism_orientation|WVS_F,1.0,0.9999999999999997,0.9999999999999989,1.0,1.0,0.9999999999999997,NaN,0.9999999999999987,0.9999999999999997,0.9999999999999978,0.9999999999999997,1.0,0.999999999999999,0.9999999999999981,NaN,1.0,1.0,1.0,1.0,1.0,NaN,1.0,0.9999999999999989,NaN,0.9999999999999994,1.0,1.0,0.9999999999999989,1.0,1.0,0.0,NaN,NaN,NaN,1.0,0.9999999999999983,NaN,1.0,0.9999999999999993,1.0,1.0,NaN,NaN,1.0
religious_belief|WVS_F,1.0,0.9999999999999996,0.9999999999999984,0.9999999999999996,1.0,1.0,NaN,0.9999999999999978,1.0,0.9999999999999971,0.999999999999999,1.0,0.9999999999999983,0.9999999999999977,NaN,1.0,1.0,1.0,1.0,1.0,NaN,1.0,0.9999999999999992,NaN,0.9999999999999993,1.0,0.9999999999999997,0.9999999999999986,0.9999999999999988,1.0,NaN,0.0,NaN,NaN,1.0,0.999999999999998,NaN,1.0,0.9999999999999993,1.0,1.0,NaN,NaN,1.0
religious_exclusivism|WVS_F,0.9999999999999994,0.9999999999999999,0.9999999999999996,0.9999999999999999,0.9999999999999994,1.0,NaN,0.999999999999999,0.9999999999999996,0.9999999999999988,0.9999999999999997,0.9999999999999996,0.9999999999999998,0.9999999999999991,NaN,1.0,1.0,1.0,1.0,1.0,NaN,0.9999999999999997,1.0,NaN,0.9999999999999997,1.0,0.9999999999999996,0.9999999999999997,0.9999999999999993,1.0,NaN,NaN,0.0,NaN,1.0,0.999999999999999,NaN,1.0,0.9999999999999994,0.9999999999999998,0.9999999999999999,NaN,NaN,0.9999999999999997
religious_practice_and_self_identification|WVS_F,1.0,0.9999999999999994,0.9999999999999999,0.9999999999999993,0.9999999999999986,1.0,NaN,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999986,1.0,0.9999999999999978,0.9999999999999999,NaN,1.0,0.9999999999999999,1.0,1.0,1.0,NaN,0.9999999999999979,1.0,NaN,1.0,1.0,0.9999999999999981,0.9999999999999979,1.0,1.0,NaN,NaN,NaN,0.0,1.0,1.0,NaN,0.9999999999999991,0.9999999999999992,1.0,1.0,NaN,NaN,1.0
science_skepticism|WVS_I,0.9999999999999998,0.9999999999999994,0.9999999999999992,0.9999999999999999,0.9999999999999997,1.0,1.0,0.9999999999999991,0.9999999999999994,0.9999999999999989,1.0,0.9999999999999997,0.9999999999999987,0.999999999999999,NaN,1.0,1.0,1.0,1.0,1.0,NaN,0.9999999999999998,1.0,0.9999999999999994,0.9999999999999996,1.0,0.9999999999999996,0.999999999999998,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999989,1.0,1.0,0.999999999999999,0.9999999999999997,0.9999999999999999,NaN,NaN,0.9999999999999996
science_technology_optimism|WVS_E,NaN,NaN,0.9999999999999967,0.9999999999999968,0.9999999999999962,0.9999999999999964,0.9999999999999988,NaN,NaN,NaN,0.9999999999999944,NaN,NaN,NaN,NaN,0.9999999999999973,0.9999999999999996,0.9999999999999994,1.0,0.9999999999999987,NaN,0.999999999999997,0.999999999999994,0.999999999999995,0.9999999999999982,NaN,0.999999999999996,NaN,NaN,0.999999999999998,0.9999999999999983,0.999999999999998,0.999999999999999,1.0,0.9999999999999989,0.0,0.9999999999999988,0.999999999999997,NaN,0.9999999999999998,0.9999999999999994,NaN,NaN,NaN
sexual_and_reproductive_morality_permissiveness|WVS_F,0.9999999999999998,0.9999999999999997,0.9999999999999998,0.9999999999999994,0.9999999999999991,1.0,NaN,0.9999999999999988,0.9999999999999998,0.9999999999999983,0.9999999999999993,0.9999999999999997,0.9999999999999983,0.9999999999999987,NaN,1.0,1.0,1.0,1.0,1.0,NaN,0.9999999999999994,1.0,NaN,0.9999999999999999,1.0,0.9999999999999987,0.9999999999999999,0.9999999999999992,1.0,NaN,NaN,NaN,NaN,1.0,0.9999999999999988,0.0,0.9999999999999996,0.9999999999999997,0.9999999999999996,0.9999999999999999,NaN,NaN,0.9999999999999992
social_intolerance_outgroups|WVS_A,0.9999999999999991,1.0,0.9999999999999986,NaN,NaN,NaN,0.9999999999999997,0.9999999999999969,0.9999999999999988,0.9999999999999959,1.0,0.999999999999999,1.0,0.9999999999999967,NaN,1.0,1.0,1.0,1.0,NaN,NaN,1.0,1.0,0.9999999999999996,0.9999999999999992,1.0,0.9999999999999997,1.0,0.9999999999999979,0.9999999999999998,1.0,1.0,1.0,0.9999999999999991,1.0,0.999999999999997,0.9999999999999996,0.0,0.9999999999999989,0.9999999999999978,NaN,NaN,NaN,0.9999999999999942
societal_change_attitudes|WVS_E,NaN,NaN,0.9999999999999964,0.9999999999999981,0.9999999999999972,NaN,0.9999999999999997,NaN,NaN,NaN,0.9999999999999968,NaN,NaN,NaN,NaN,0.9999999999999996,0.9999999999999996,0.9999999999999991,0.9999999999999991,1.0,NaN,0.9999999999999981,0.9999999999999973,0.9999999999999972,0.9999999999999981,NaN,0.9999999999999974,NaN,NaN,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999994,0.9999999999999992,0.999999999999999,NaN,0.9999999999999997,0.9999999999999989,0.0,1.0,0.9999999999999998,NaN,NaN,NaN
socioeconomic_insecurity_worry|WVS_H,1.0,1.0,NaN,0.9999999999999986,0.9999999999999976,1.0,0.9999999999999996,0.9999999999999998,1.0,0.9999999999999997,NaN,1.0,1.0,0.9999999999999998,NaN,NaN,1.0,1.0,1.0,1.0,NaN,0.9999999999999983,0.9999999999999988,0.9999999999999959,NaN,1.0,0.9999999999999968,1.0,0.9999999999999999,NaN,1.0,1.0,0.9999999999999998,1.0,0.9999999999999997,0.9999999999999998,0.9999999999999996,0.9999999999999978,1.0,0.0,1.0,NaN,NaN,0.9999999999977883
subjective_wellbeing|WVS_A,1.0,1.0,1.0,NaN,NaN,NaN,0.9999999999999999,0.9999999999999994,1.0,0.9999999999999992,0.9999999999999986,0.9999999999999999,1.0,0.9999999999999993,NaN,1.0,1.0,1.0,1.0,NaN,NaN,0.9999999999999989,0.9999999999999994,0.999999999999997,1.0,1.0,0.9999999999999977,1.0,0.9999999999999997,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999994,0.9999999999999999,NaN,0.9999999999999998,1.0,0.0,NaN,NaN,1.0
violence_tolerance|WVS_F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN
voluntary_association_active_membership|WVS_A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN
voting_participation|WVS_E,NaN,NaN,1.0,0.9999999999999982,0.9999999999999963,1.0,0.9999999999999992,NaN,NaN,NaN,0.9999999999999969,NaN,NaN,NaN,NaN,1.0,0.9999999999999998,1.0,1.0,1.0,NaN,0.9999999999999976,0.9999999999999984,0.9999999999999931,1.0,NaN,0.9999999999999951,NaN,NaN,0.9999999999999996,1.0,1.0,0.9999999999999997,1.0,0.9999999999999996,NaN,0.9999999999999992,0.9999999999999942,NaN,0.9999999999977883,1.0,NaN,NaN,0.0
